id_signal,timestamp,value
temperature,1464106772,23
temperature,1464106773,100
temperature,1464106774,25
temperature,1464106775,26
temperature,1464106776,27
temperature,1464106777,28
temperature,1464106778,28
temperature,1464106779,28
temperature,1464106780,28
humidity,1464106772,80
humidity,1464106773,75
humidity,1464106774,60
humidity,1464106775,50
humidity,1464106776,50
humidity,1464106777,50
humidity,1464106778,65
humidity,1464106779,65
humidity,1464106780,75
temperature,1464179500,25
temperature,1464179501,26
temperature,1464179502,27
temperature,1464179503,28
temperature,1464179504,29
temperature,1464179505,30
temperature,1464179506,31
temperature,1464179507,32
temperature,1464257422,45
temperature,1464257423,20
