id_signal,timestamp,value
temperature,1483264800.0,-35
presure,1483264800.0,1000
rain,1483264800.0,66
humidity,1483264800.0,81
visibility,1483264800.0,12
wind,1483264800.0,152
temperature,1483351200.0,39
presure,1483351200.0,1139
rain,1483351200.0,195
humidity,1483351200.0,38
visibility,1483351200.0,17
wind,1483351200.0,140
temperature,1483437600.0,-15
presure,1483437600.0,987
rain,1483437600.0,77
humidity,1483437600.0,49
visibility,1483437600.0,7
wind,1483437600.0,37
temperature,1483524000.0,-22
presure,1483524000.0,1109
rain,1483524000.0,190
humidity,1483524000.0,59
visibility,1483524000.0,13
wind,1483524000.0,39
temperature,1483610400.0,32
presure,1483610400.0,1040
rain,1483610400.0,22
humidity,1483610400.0,20
visibility,1483610400.0,1
wind,1483610400.0,30
temperature,1483696800.0,-48
presure,1483696800.0,914
rain,1483696800.0,193
humidity,1483696800.0,76
visibility,1483696800.0,5
wind,1483696800.0,93
temperature,1483783200.0,-24
presure,1483783200.0,919
rain,1483783200.0,81
humidity,1483783200.0,57
visibility,1483783200.0,15
wind,1483783200.0,25
temperature,1483869600.0,31
presure,1483869600.0,1129
rain,1483869600.0,101
humidity,1483869600.0,89
visibility,1483869600.0,11
wind,1483869600.0,47
temperature,1483956000.0,23
presure,1483956000.0,968
rain,1483956000.0,177
humidity,1483956000.0,70
visibility,1483956000.0,19
wind,1483956000.0,137
temperature,1484042400.0,-14
presure,1484042400.0,1079
rain,1484042400.0,182
humidity,1484042400.0,13
visibility,1484042400.0,9
wind,1484042400.0,195
temperature,1484128800.0,-4
presure,1484128800.0,1029
rain,1484128800.0,65
humidity,1484128800.0,38
visibility,1484128800.0,5
wind,1484128800.0,61
temperature,1484215200.0,18
presure,1484215200.0,958
rain,1484215200.0,48
humidity,1484215200.0,6
visibility,1484215200.0,1
wind,1484215200.0,79
temperature,1484301600.0,36
presure,1484301600.0,1138
rain,1484301600.0,127
humidity,1484301600.0,62
visibility,1484301600.0,5
wind,1484301600.0,48
temperature,1484388000.0,-43
presure,1484388000.0,1118
rain,1484388000.0,95
humidity,1484388000.0,3
visibility,1484388000.0,3
wind,1484388000.0,49
temperature,1484474400.0,33
presure,1484474400.0,936
rain,1484474400.0,180
humidity,1484474400.0,38
visibility,1484474400.0,5
wind,1484474400.0,82
temperature,1484560800.0,-10
presure,1484560800.0,976
rain,1484560800.0,152
humidity,1484560800.0,27
visibility,1484560800.0,7
wind,1484560800.0,158
temperature,1484647200.0,44
presure,1484647200.0,954
rain,1484647200.0,127
humidity,1484647200.0,10
visibility,1484647200.0,14
wind,1484647200.0,133
temperature,1484733600.0,16
presure,1484733600.0,909
rain,1484733600.0,104
humidity,1484733600.0,73
visibility,1484733600.0,13
wind,1484733600.0,187
temperature,1484820000.0,30
presure,1484820000.0,1000
rain,1484820000.0,27
humidity,1484820000.0,58
visibility,1484820000.0,17
wind,1484820000.0,135
temperature,1484906400.0,-34
presure,1484906400.0,1094
rain,1484906400.0,121
humidity,1484906400.0,27
visibility,1484906400.0,2
wind,1484906400.0,103
temperature,1484992800.0,-42
presure,1484992800.0,935
rain,1484992800.0,189
humidity,1484992800.0,26
visibility,1484992800.0,19
wind,1484992800.0,127
temperature,1485079200.0,23
presure,1485079200.0,1037
rain,1485079200.0,199
humidity,1485079200.0,8
visibility,1485079200.0,10
wind,1485079200.0,125
temperature,1485165600.0,28
presure,1485165600.0,1109
rain,1485165600.0,182
humidity,1485165600.0,0
visibility,1485165600.0,13
wind,1485165600.0,141
temperature,1485252000.0,-4
presure,1485252000.0,1077
rain,1485252000.0,145
humidity,1485252000.0,55
visibility,1485252000.0,1
wind,1485252000.0,171
temperature,1485338400.0,2
presure,1485338400.0,968
rain,1485338400.0,105
humidity,1485338400.0,28
visibility,1485338400.0,6
wind,1485338400.0,88
temperature,1485424800.0,32
presure,1485424800.0,1175
rain,1485424800.0,113
humidity,1485424800.0,80
visibility,1485424800.0,15
wind,1485424800.0,166
temperature,1485511200.0,44
presure,1485511200.0,949
rain,1485511200.0,118
humidity,1485511200.0,20
visibility,1485511200.0,4
wind,1485511200.0,47
temperature,1485597600.0,44
presure,1485597600.0,978
rain,1485597600.0,157
humidity,1485597600.0,41
visibility,1485597600.0,15
wind,1485597600.0,51
temperature,1485684000.0,-14
presure,1485684000.0,1111
rain,1485684000.0,187
humidity,1485684000.0,5
visibility,1485684000.0,14
wind,1485684000.0,101
temperature,1485770400.0,46
presure,1485770400.0,1113
rain,1485770400.0,29
humidity,1485770400.0,82
visibility,1485770400.0,16
wind,1485770400.0,78
temperature,1485856800.0,15
presure,1485856800.0,1122
rain,1485856800.0,61
humidity,1485856800.0,28
visibility,1485856800.0,10
wind,1485856800.0,147
temperature,1485943200.0,7
presure,1485943200.0,1024
rain,1485943200.0,45
humidity,1485943200.0,2
visibility,1485943200.0,12
wind,1485943200.0,5
temperature,1486029600.0,-2
presure,1486029600.0,947
rain,1486029600.0,155
humidity,1486029600.0,14
visibility,1486029600.0,15
wind,1486029600.0,13
temperature,1486116000.0,10
presure,1486116000.0,972
rain,1486116000.0,115
humidity,1486116000.0,92
visibility,1486116000.0,1
wind,1486116000.0,176
temperature,1486202400.0,15
presure,1486202400.0,1018
rain,1486202400.0,116
humidity,1486202400.0,45
visibility,1486202400.0,2
wind,1486202400.0,114
temperature,1486288800.0,-6
presure,1486288800.0,1165
rain,1486288800.0,139
humidity,1486288800.0,41
visibility,1486288800.0,1
wind,1486288800.0,90
temperature,1486375200.0,-44
presure,1486375200.0,1043
rain,1486375200.0,36
humidity,1486375200.0,71
visibility,1486375200.0,17
wind,1486375200.0,37
temperature,1486461600.0,22
presure,1486461600.0,1049
rain,1486461600.0,133
humidity,1486461600.0,74
visibility,1486461600.0,12
wind,1486461600.0,159
temperature,1486548000.0,25
presure,1486548000.0,969
rain,1486548000.0,85
humidity,1486548000.0,21
visibility,1486548000.0,17
wind,1486548000.0,97
temperature,1486634400.0,13
presure,1486634400.0,1049
rain,1486634400.0,74
humidity,1486634400.0,2
visibility,1486634400.0,1
wind,1486634400.0,132
temperature,1486720800.0,-21
presure,1486720800.0,953
rain,1486720800.0,117
humidity,1486720800.0,7
visibility,1486720800.0,15
wind,1486720800.0,91
temperature,1486807200.0,42
presure,1486807200.0,1064
rain,1486807200.0,77
humidity,1486807200.0,0
visibility,1486807200.0,7
wind,1486807200.0,16
temperature,1486893600.0,16
presure,1486893600.0,939
rain,1486893600.0,103
humidity,1486893600.0,47
visibility,1486893600.0,17
wind,1486893600.0,100
temperature,1486980000.0,-32
presure,1486980000.0,1099
rain,1486980000.0,77
humidity,1486980000.0,8
visibility,1486980000.0,4
wind,1486980000.0,40
temperature,1487066400.0,33
presure,1487066400.0,1104
rain,1487066400.0,103
humidity,1487066400.0,64
visibility,1487066400.0,13
wind,1487066400.0,100
temperature,1487152800.0,-40
presure,1487152800.0,1131
rain,1487152800.0,2
humidity,1487152800.0,42
visibility,1487152800.0,12
wind,1487152800.0,147
temperature,1487239200.0,41
presure,1487239200.0,1092
rain,1487239200.0,18
humidity,1487239200.0,90
visibility,1487239200.0,17
wind,1487239200.0,29
temperature,1487325600.0,-27
presure,1487325600.0,1013
rain,1487325600.0,113
humidity,1487325600.0,56
visibility,1487325600.0,19
wind,1487325600.0,80
temperature,1487412000.0,-25
presure,1487412000.0,915
rain,1487412000.0,129
humidity,1487412000.0,40
visibility,1487412000.0,18
wind,1487412000.0,153
temperature,1487498400.0,46
presure,1487498400.0,1091
rain,1487498400.0,132
humidity,1487498400.0,71
visibility,1487498400.0,2
wind,1487498400.0,189
temperature,1487584800.0,-5
presure,1487584800.0,1049
rain,1487584800.0,70
